Player,Pos,Age,Tm,Team Wins,Overall Seed,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TMP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jusuf Nurkić,C,29,PHO,33,10,52,52,27.2,4.6,8.8,0.519,0.4,1.6,0.25,4.2,7.2,0.579,0.542,2.3,3.4,0.686,2.6,7.6,10.2,3.7,1,1,2.1,3.4,11.8,1416,17.7,0.576,0.184,0.383,11.5,30.1,21.4,19,1.8,3.2,16.8,19.6,1.7,2.5,4.1,0.14,-0.8,1.6,0.8,1
Royce O'Neale,SF,30,PHO,33,10,3,0,21.7,2.3,5.3,0.438,2,4.3,0.462,0.3,1,0.333,0.625,0.3,1,0.333,0.7,4.3,5,3,2.3,0.7,0.7,2.3,7,65,17.5,0.606,0.813,0.188,3.8,21.5,13.2,17.8,5.2,2.7,10.4,12.9,0.1,0.1,0.3,0.189,0.7,5,5.7,0.1
Josh Okogie,SG,25,PHO,33,10,49,11,17.6,1.6,3.7,0.415,0.5,1.7,0.289,1.1,2,0.52,0.481,1.4,1.9,0.737,1.3,1.5,2.8,1.1,0.9,0.4,0.6,1.3,5,862,11.9,0.547,0.454,0.519,8.8,9.1,9,8,2.5,2.2,10.7,12.6,0.9,1,1.9,0.105,-1.6,1,-0.6,0.3
David Roddy,PF,22,PHO,33,10,1,0,10,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,0,1,1,0,0,0,1,1,5,10,9.6,0.833,0.667,0,0,10.8,5.7,0,0,0,25,17.3,0,0,0,0.01,-2.6,-2.2,-4.8,0
Deandre Ayton,C,25,POR,15,26,37,37,31.7,6.4,11.4,0.56,0,0,,6.4,11.4,0.56,0.56,1,1.3,0.809,3,7.4,10.4,1.7,1.1,0.8,1.7,2.3,13.8,1172,16.6,0.577,0,0.111,10.2,27.9,18.5,8.7,1.6,2.2,12.6,18.5,0.8,1.4,2.2,0.09,-1,-0.1,-1,0.3
Ibou Badji,C,21,POR,15,26,17,1,11.7,0.7,1.1,0.632,0,0,,0.7,1.1,0.632,0.632,0.3,0.6,0.5,1.1,1.7,2.8,0.8,0.1,1.2,0.8,2.4,1.7,199,8.7,0.62,0,0.526,10.2,17.5,13.6,8.7,0.5,9,37.4,8,0,0.2,0.2,0.048,-7.5,2.3,-5.3,-0.2
Dalano Banton,PG,24,POR,15,26,3,0,23,3.3,8.7,0.385,0.7,2.3,0.286,2.7,6.3,0.421,0.423,3.3,5,0.667,0.3,3,3.3,2,1,0,2.3,1,10.7,69,8.6,0.491,0.269,0.577,1.5,15.7,8.2,13.1,2.1,0,17.7,24.5,-0.1,0.1,-0.1,-0.059,-4.3,-0.5,-4.8,0
Jamaree Bouyea,PG,24,POR,15,26,6,0,9.5,0.8,3.5,0.238,0,1.3,0,0.8,2.2,0.385,0.238,0,0,,0.3,1.3,1.7,1.3,0,0,1.3,0.5,1.7,57,-4.8,0.238,0.381,0,3.7,16.9,9.9,19.5,0,0,27.6,21.7,-0.4,0,-0.4,-0.302,-13.1,-4.8,-18,-0.2
Malcolm Brogdon,PG,31,POR,15,26,39,25,28.7,5.6,12.7,0.44,2.1,5.1,0.412,3.5,7.6,0.458,0.522,2.4,3,0.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7,1121,16.9,0.56,0.401,0.234,2.7,12.9,7.5,31.1,1.2,0.6,9.9,23.1,1.8,0.6,2.4,0.104,2.6,-0.7,1.8,1.1
Moses Brown,C,24,POR,15,26,9,4,9.1,1,2.3,0.429,0,0,,1,2.3,0.429,0.429,0,0.4,0,2,3.1,5.1,0.2,0.2,0.3,0.4,1.2,2,82,12.8,0.395,0,0.19,23.4,41,31.7,3.5,1.2,3.3,14.9,13.9,0,0.1,0.1,0.046,-4.8,-2.3,-7.1,-0.1
Toumani Camara,PF,23,POR,15,26,53,33,23.6,2.6,6,0.436,0.8,2.5,0.308,1.9,3.6,0.524,0.498,1,1.4,0.724,1.8,3,4.8,1,1,0.5,1.2,2.5,7,1253,9.9,0.529,0.408,0.238,8.1,15.1,11.4,6.1,2.1,1.8,15,14.1,-0.1,1.2,1.1,0.041,-3.8,0.2,-3.7,-0.5
Jerami Grant,PF,29,POR,15,26,47,47,34,7.3,16.1,0.456,2.1,5.2,0.403,5.3,10.9,0.481,0.521,4.9,6,0.813,0.7,3,3.7,2.7,0.7,0.7,2,2.3,21.7,1597,15.8,0.578,0.321,0.376,2.3,10.5,6.2,13.2,1,1.9,9.7,26.1,1.6,0.8,2.5,0.074,1.2,-1.2,0,0.8
Ashton Hagans,PG,24,POR,15,26,4,1,15,1.3,3,0.417,0,1,0,1.3,2,0.625,0.417,0.3,0.5,0.5,0,1.3,1.3,1.8,0.3,0.3,0.8,1.8,2.8,60,3.7,0.427,0.333,0.167,0,10,4.7,16.1,0.8,1.5,18.9,11.3,-0.1,0,0,-0.034,-8.1,-0.6,-8.7,-0.1
Scoot Henderson,PG,19,POR,15,26,43,16,27,4.4,11.8,0.375,1.2,3.9,0.31,3.2,7.9,0.408,0.427,2.8,3.4,0.818,0.9,2.1,3,4.7,0.6,0.2,3,3,12.9,1160,8.9,0.484,0.332,0.292,3.5,9.2,6.2,27,1,0.8,18.2,25.7,-1.7,0.5,-1.2,-0.05,-3.9,-2.4,-6.3,-1.3
Justin Minaya,SF,24,POR,15,26,17,0,8.6,0.4,1.4,0.261,0.2,0.9,0.2,0.2,0.5,0.375,0.326,0.2,0.4,0.5,0.5,0.6,1.1,0.4,0.3,0.3,0.3,0.6,1.1,146,4.8,0.351,0.652,0.261,6.6,8.2,7.4,6.3,1.7,3.1,16.3,8.9,-0.2,0.1,-0.1,-0.017,-5.3,-0.4,-5.8,-0.1
Taze Moore,SG,25,POR,15,26,3,0,3.3,1,1.7,0.6,0,0.7,0,1,1,1,0.6,0,0,,0,0,0,0.3,0.3,0,0.3,0.7,2,10,14.3,0.6,0.4,0,0,0,0,19.7,4.9,0,16.7,25.6,0,0,0,0.017,-4.7,1.8,-3,0
Kris Murray,SF,23,POR,15,26,34,1,13.1,1.4,3.5,0.407,0.6,1.7,0.322,0.9,1.7,0.492,0.487,0.3,0.5,0.563,0.6,1.3,2,0.7,0.7,0.2,0.6,0.8,3.6,446,9.3,0.496,0.5,0.136,5.3,12.1,8.5,7.4,2.8,1.4,13.2,13.8,-0.2,0.4,0.2,0.025,-3.4,0.6,-2.8,-0.1
Duop Reath,C,27,POR,15,26,40,11,17.4,3.3,6.9,0.475,1.4,3.6,0.385,1.9,3.3,0.571,0.574,1,1.4,0.741,1.5,2.4,3.8,1.1,0.5,0.5,0.8,2.5,8.9,696,16.1,0.595,0.518,0.196,8.9,16.2,12.3,10.4,1.4,2.5,9.1,20.2,1.1,0.6,1.7,0.114,0.6,-0.4,0.2,0.4
Rayan Rupert,SG,19,POR,15,26,16,0,7.4,0.9,2.7,0.349,0.4,1.1,0.412,0.5,1.6,0.308,0.43,0.3,0.5,0.625,0.4,0.9,1.3,0.7,0.2,0,0.4,0.4,2.6,119,8.3,0.451,0.395,0.186,6.3,14.1,10,13.6,1.2,0,11.4,18.8,-0.1,0.1,0,-0.015,-3.6,-2.4,-6,-0.1
Shaedon Sharpe,SG,20,POR,15,26,32,25,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,0.475,3.1,3.7,0.824,1.3,3.7,5,2.9,0.9,0.4,2.3,2.8,15.9,1059,11.3,0.524,0.415,0.274,4.2,13.4,8.5,13.8,1.3,1,12.9,22.5,-0.3,0.7,0.4,0.016,-2.1,-0.9,-3,-0.3
Anfernee Simons,SG,24,POR,15,26,31,31,33.5,7.9,18.3,0.433,3.4,8.8,0.388,4.5,9.5,0.474,0.527,3.7,4.1,0.913,0.5,3.1,3.5,5.3,0.5,0.1,2.6,2.2,22.9,1039,16.5,0.572,0.482,0.223,1.5,11,6,27.6,0.7,0.3,11.5,28.8,1.1,0.4,1.5,0.069,3,-2.5,0.6,0.7
Matisse Thybulle,SF,26,POR,15,26,52,19,23,1.9,4.8,0.388,1.3,3.7,0.342,0.6,1.1,0.544,0.52,0.3,0.4,0.8,0.4,1.5,1.9,1.3,1.6,0.8,0.5,1.4,5.3,1197,9.7,0.533,0.772,0.08,2,7.6,4.6,7.5,3.4,2.9,9.8,10.2,0.2,1.3,1.6,0.063,-3.1,3,-0.1,0.6
Ish Wainright,SF,29,POR,15,26,7,0,6.6,0.9,2.6,0.333,0.9,2.3,0.375,0,0.3,0,0.5,0.3,0.3,1,0,1.3,1.3,0,0.3,0.1,0.1,0.6,2.9,46,10.1,0.53,0.889,0.111,0,23.5,11.1,0,2.1,2,5,18.4,0,0.1,0,0.048,-1.3,0.6,-0.8,0
Jabari Walker,SF,21,POR,15,26,50,14,22.2,3,6.5,0.469,0.5,2,0.276,2.5,4.5,0.553,0.511,1.7,2.3,0.754,1.9,4.4,6.4,0.8,0.6,0.4,0.9,2.3,8.3,1108,13,0.557,0.302,0.352,9.4,24.1,16.3,5.5,1.4,1.6,11.2,16.2,0.8,1.1,1.9,0.081,-2.7,-0.8,-3.4,-0.4
Robert Williams,C,26,POR,15,26,6,0,19.8,2.8,4.3,0.654,0,0,,2.8,4.3,0.654,0.654,1.2,1.5,0.778,1.8,4.5,6.3,0.8,1.2,1.2,1.2,2.8,6.8,119,17.1,0.684,0,0.346,9.9,27.3,18.1,6.3,2.9,5.3,18.9,13.2,0.1,0.2,0.4,0.142,-2.4,2.9,0.5,0.1
Harrison Barnes,PF,31,SAC,31,14,54,54,29.9,4.2,8.7,0.483,1.9,4.9,0.397,2.3,3.9,0.59,0.593,1.9,2.3,0.82,0.8,2.1,2.9,1.2,0.7,0.2,0.7,1.3,12.2,1612,11.7,0.628,0.555,0.258,2.9,8.3,5.6,5.1,1.1,0.5,6.7,14.9,2.1,0.9,3.1,0.092,-0.7,-1.2,-1.9,0
Chris Duarte,SF,26,SAC,31,14,37,11,12.8,1.3,3.5,0.364,0.6,1.9,0.324,0.6,1.6,0.414,0.453,0.5,0.7,0.769,0.4,1.4,1.8,0.9,0.5,0.1,0.5,1.6,3.7,472,6.5,0.488,0.55,0.202,3.5,12.5,7.9,8.4,1.8,0.4,12.5,14.5,-0.2,0.4,0.2,0.018,-5.3,0.1,-5.2,-0.4
Kessler Edwards,SF,23,SAC,31,14,36,0,4.9,0.6,1.4,0.412,0.3,0.9,0.364,0.3,0.5,0.5,0.529,0.1,0.1,0.75,0.1,0.6,0.8,0.3,0.1,0.1,0,0.5,1.6,178,9.7,0.54,0.647,0.078,3.1,14.9,8.9,6.4,1.1,2,1.9,12.8,0.1,0.2,0.3,0.079,-1.7,-0.5,-2.1,0
Keon Ellis,SG,24,SAC,31,14,33,3,11.5,1.2,2.7,0.422,0.8,2.2,0.37,0.3,0.5,0.647,0.572,0.3,0.5,0.647,0.3,1,1.2,1.2,0.4,0.4,0.5,1.4,3.5,379,9.7,0.585,0.811,0.189,2.6,9.7,6.1,12.5,1.8,3.1,14.8,12.8,0.2,0.4,0.6,0.075,-1.9,1,-1,0.1
Jordan Ford,PG,25,SAC,31,14,6,0,3.7,0.7,1.2,0.571,0.3,0.5,0.667,0.3,0.7,0.5,0.714,0.3,0.3,1,0,0.3,0.3,0.3,0,0,0.2,0,2,22,16.5,0.761,0.429,0.286,0,10.5,5.1,12.6,0,0,11.3,17.2,0.1,0,0.1,0.149,3.2,-1.3,1.9,0
De'Aaron Fox,PG,26,SAC,31,14,48,48,35.6,9.6,20.7,0.464,2.9,7.8,0.376,6.7,12.9,0.518,0.535,4.6,6.5,0.706,0.9,3.2,4.1,5.5,1.9,0.4,2.6,2.6,26.8,1709,19.6,0.568,0.378,0.315,2.8,10.4,6.5,24.3,2.5,1,9.8,31.2,2,1.8,3.7,0.105,2.2,-0.5,1.7,1.6
Kevin Huerter,SG,25,SAC,31,14,52,47,25,4.1,9,0.452,2,5.5,0.368,2,3.4,0.587,0.565,0.7,0.8,0.791,0.6,3,3.6,2.6,0.7,0.4,0.8,2.1,10.8,1298,13,0.578,0.617,0.092,2.7,13.9,8.2,14,1.3,1.5,7.6,17.2,1.4,1.1,2.6,0.094,0,-0.3,-0.3,0.6
Colby Jones,SG,21,SAC,31,14,17,0,7.1,1,2.7,0.37,0.1,0.8,0.077,0.9,1.9,0.485,0.38,0.1,0.3,0.4,0.6,0.9,1.5,0.6,0.2,0.1,0.3,0.9,2.2,121,6.3,0.384,0.283,0.109,9.1,14.3,11.7,10.8,1.6,0.7,9.4,18.7,-0.2,0.1,-0.1,-0.038,-6.5,-1.2,-7.7,-0.2
Alex Len,C,30,SAC,31,14,22,0,8.3,1,1.6,0.639,0,0.1,0,1,1.5,0.697,0.639,0.3,0.7,0.467,1.2,1.7,3,1,0.3,0.4,0.6,1.2,2.4,183,15.8,0.622,0.083,0.417,16.3,23.9,20,15.4,1.6,4.4,24.7,13.2,0.3,0.3,0.5,0.135,-2.1,1.8,-0.3,0.1
Trey Lyles,PF,28,SAC,31,14,39,0,20.1,2.6,5.5,0.463,1.6,4.1,0.405,0.9,1.5,0.621,0.611,0.8,1.2,0.681,0.9,3.6,4.5,1.2,0.3,0.3,0.6,1.5,7.6,782,12.5,0.625,0.731,0.218,5.2,20.6,12.8,7.7,0.8,1.3,9.2,14.2,1,0.7,1.7,0.105,0.2,-0.6,-0.5,0.3
JaVale McGee,C,36,SAC,31,14,39,0,7.9,1.9,3,0.629,0,0.1,0,1.9,2.9,0.652,0.629,0.6,1.1,0.581,0.9,1.9,2.9,0.4,0.2,0.5,0.8,1.1,4.4,310,18.6,0.634,0.034,0.371,13.2,27.9,20.4,6.7,1.4,5.5,18.7,22.8,0.2,0.5,0.6,0.098,-2,0.4,-1.6,0
Davion Mitchell,PG,25,SAC,31,14,44,3,13.2,1.5,3.6,0.403,0.6,1.8,0.309,0.9,1.8,0.5,0.481,0.4,0.6,0.72,0.2,0.9,1,1.7,0.2,0,0.6,1.2,3.9,579,7,0.503,0.509,0.157,1.3,7.8,4.5,16.3,0.8,0.3,12.8,14.3,0,0.3,0.3,0.022,-4.2,-1.1,-5.3,-0.5
Malik Monk,SG,25,SAC,31,14,53,0,25.8,5.3,11.8,0.449,2.2,6,0.375,3,5.8,0.524,0.544,2.3,2.8,0.815,0.4,2.4,2.8,5.3,0.6,0.6,2.2,2.1,15.1,1370,15.9,0.581,0.508,0.242,1.5,10.7,6,29.2,1.1,2.2,14.4,25,1.5,1,2.5,0.089,1.9,-0.9,0.9,1
Keegan Murray,SF,23,SAC,31,14,50,50,32.5,5.6,12.3,0.459,2.2,6.2,0.35,3.5,6.1,0.571,0.548,1.3,1.7,0.807,1.2,4.1,5.3,1.7,1.1,0.6,0.9,2.7,14.8,1625,13.1,0.569,0.507,0.135,4.1,14.4,9.2,7.2,1.6,1.8,6.2,18.1,1.4,1.5,2.9,0.086,-0.9,-0.6,-1.5,0.2
Filip Petrušev,C,23,SAC,31,14,2,0,3.5,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0.5,1.5,7,5.4,0.521,0,1,0,0,0,0,0,0,0,17.5,0,0,0,0.008,-5.7,-3.8,-9.5,0
Domantas Sabonis,C,27,SAC,31,14,54,54,35.7,8.1,13.1,0.622,0.5,1.1,0.426,7.6,11.9,0.64,0.64,3.4,4.9,0.697,3.2,10,13.2,8.3,0.9,0.5,3.3,3.1,20.1,1928,23.5,0.662,0.086,0.374,10,32.3,20.9,34.5,1.1,1.4,18,22.1,6,2.4,8.4,0.209,4.2,2.4,6.6,4.2
Jalen Slawson,SF,24,SAC,31,14,5,0,3.8,0.4,0.6,0.667,0,0.2,0,0.4,0.4,1,0.667,0,0,,0,0.8,0.8,0.4,0,0.2,0.4,0.6,0.8,19,5.4,0.667,0.333,0,0,24.3,11.9,13.2,0,4.7,40,11.2,0,0,0,-0.009,-7.2,1.3,-6,0
Juan Toscano-Anderson,SF,30,SAC,31,14,11,0,4.8,0.3,1.1,0.25,0.1,0.4,0.25,0.2,0.7,0.25,0.292,0,0,,0.4,0.9,1.3,0.4,0.1,0.1,0.2,1,0.6,53,2.5,0.292,0.333,0,8.3,21.7,14.9,8.9,0.9,1.7,14.3,11.2,-0.1,0.1,0,-0.029,-8.9,-0.7,-9.6,-0.1
Sasha Vezenkov,PF,28,SAC,31,14,35,0,12.6,2.1,4.7,0.448,1.1,2.9,0.38,1,1.9,0.554,0.564,0.3,0.4,0.769,0.9,1.6,2.5,0.4,0.5,0.2,0.3,1,5.6,440,13.5,0.574,0.606,0.079,7.5,14.7,11,4.6,1.7,1.4,6.1,17.6,0.4,0.4,0.8,0.092,-0.1,-1,-1.2,0.1
Dominick Barlow,PF,20,SAS,11,28,23,1,13.3,1.7,3.7,0.476,0.1,0.3,0.429,1.6,3.3,0.481,0.494,1,1.5,0.647,1.4,2.2,3.7,1.1,0.4,0.5,0.2,1.4,4.6,307,14.7,0.531,0.083,0.405,11.4,18.2,14.8,11.5,1.4,3.3,4.8,14.2,0.5,0.3,0.7,0.116,-1.5,-0.2,-1.7,0
Charles Bassey,C,23,SAS,11,28,19,0,10.8,1.5,2.1,0.725,0,0.1,0,1.5,2.1,0.744,0.725,0.3,0.3,0.833,1.2,2.8,4,1.1,0.4,0.9,0.8,1.6,3.3,205,17.6,0.739,0.025,0.15,11.9,28.4,20,14.1,1.8,7.1,26,11.8,0.3,0.3,0.6,0.148,-2,3,1,0.2
Malaki Branham,PG,20,SAS,11,28,50,21,20.2,3.3,7.7,0.426,1,3.1,0.31,2.3,4.6,0.504,0.488,0.6,0.6,0.933,0.3,1.6,2,2.2,0.4,0.1,1.1,1.2,8,1010,8.2,0.507,0.405,0.078,1.8,8.8,5.2,15.5,0.9,0.4,12.4,18.8,-0.8,0.3,-0.5,-0.021,-3.9,-2.2,-6.1,-1.1
Julian Champagnie,SF,22,SAS,11,28,48,33,16.6,1.9,4.7,0.398,1.3,3.4,0.368,0.6,1.3,0.476,0.531,0.8,0.9,0.822,0.5,1.9,2.4,1.1,0.6,0.5,0.6,1,5.8,796,10.6,0.563,0.721,0.199,3.3,12.7,7.9,8.6,1.7,2.8,11.2,14.6,0.2,0.6,0.8,0.049,-1.9,-0.4,-2.3,-0.1
Sidy Cissoko,SF,19,SAS,11,28,5,0,6.4,0.2,1.2,0.167,0,0.8,0,0.2,0.4,0.5,0.167,0.8,0.8,1,0,1.2,1.2,0,0.6,0,0.2,0.4,1.2,32,5.4,0.387,0.667,0.667,0,20.6,10.1,0,4.4,0,11.4,11.5,-0.1,0,0,-0.013,-9.3,0.4,-8.9,-0.1
Zach Collins,C,26,SAS,11,28,43,24,24.2,4.4,9.3,0.475,0.8,3.1,0.267,3.6,6.1,0.582,0.52,1.8,2.3,0.782,1.8,3.7,5.5,3.1,0.5,0.7,2,3.3,11.5,1040,13.1,0.557,0.339,0.254,8,16.8,12.3,18.6,1,2.5,16.6,21.4,0.1,0.8,0.8,0.039,-2.5,-0.5,-3.1,-0.3
Mamadi Diakite,PF,27,SAS,11,28,3,0,5.3,1.3,1.7,0.8,0,0,,1.3,1.7,0.8,0.8,1.3,2,0.667,0.3,0.7,1,0.7,0,0.3,0,0.3,4,16,30.3,0.785,0,1.2,6.6,13.7,10.1,20.2,0,5.3,0,20,0.1,0,0.1,0.338,7.7,3.6,11.3,0.1
Devonte' Graham,PG,28,SAS,11,28,12,0,8.3,0.9,2.5,0.367,0.6,1.8,0.318,0.3,0.7,0.5,0.483,0.5,0.7,0.75,0.2,1.2,1.3,1.6,0.3,0.1,0.3,0.3,2.9,99,13,0.522,0.733,0.267,2.1,15.5,8.7,25.3,1.4,0.9,8.2,15.5,0.1,0.1,0.2,0.087,-1.2,-0.2,-1.4,0
Keldon Johnson,SF,24,SAS,11,28,51,26,29.9,5.9,13.1,0.448,1.7,5.2,0.33,4.2,7.9,0.525,0.513,2.6,3.4,0.78,1.4,4.3,5.7,3,0.9,0.4,1.5,2.3,16.1,1526,14.2,0.551,0.395,0.259,4.9,15.8,10.3,15.1,1.4,1,9.6,22.6,0.7,1,1.7,0.054,-0.7,-1.4,-2.1,-0.1
Tre Jones,PG,24,SAS,11,28,50,21,26,3.8,7.6,0.495,0.6,2.3,0.278,3.1,5.3,0.588,0.537,1.4,1.6,0.877,0.7,2.5,3.2,5.8,1,0.1,1.4,1.2,9.6,1300,14.4,0.576,0.301,0.212,2.8,10.6,6.6,30.6,1.8,0.4,14.4,15.7,1.8,0.8,2.6,0.094,-0.9,-0.4,-1.3,0.2
Sandro Mamukelashvili,C,24,SAS,11,28,30,0,6.5,0.9,2.2,0.409,0.3,1.1,0.235,0.6,1.1,0.594,0.47,0.4,0.6,0.706,0.6,1.2,1.8,0.9,0.1,0.3,0.3,0.7,2.5,196,14,0.504,0.515,0.258,9.8,19.6,14.6,18.8,1,3.5,9.8,17.4,0.1,0.2,0.3,0.078,-1.3,-0.1,-1.5,0
Cedi Osman,SF,28,SAS,11,28,55,1,18,2.6,5.6,0.474,1.2,3.2,0.377,1.4,2.4,0.603,0.582,0.6,0.9,0.68,0.4,2.2,2.5,1.7,0.5,0.2,0.7,1.5,7.1,989,11.4,0.595,0.572,0.163,2.1,13.3,7.6,13.2,1.4,0.8,9.9,15.4,0.7,0.6,1.3,0.063,-1.7,-0.6,-2.3,-0.1
Jeremy Sochan,PF,20,SAS,11,28,55,54,29.4,4.5,10.1,0.442,0.9,2.8,0.335,3.5,7.3,0.483,0.488,1.5,1.9,0.774,1.8,4.2,6,3.5,0.8,0.5,1.9,2.3,11.4,1617,11.1,0.519,0.278,0.19,6.5,15.8,11.1,16.8,1.2,1.3,14.9,18.4,-0.4,1.1,0.7,0.021,-2.8,-1,-3.8,-0.7
Devin Vassell,SG,23,SAS,11,28,50,44,31.7,6.9,14.9,0.465,2.5,6.7,0.369,4.5,8.2,0.544,0.548,2.5,3.1,0.806,0.4,3.3,3.7,3.7,1.1,0.3,1.4,1,18.9,1583,15.8,0.579,0.45,0.208,1.3,11.4,6.3,17.8,1.6,0.7,7.7,23.4,1.5,0.9,2.4,0.073,1.1,-1.2,-0.1,0.8
Victor Wembanyama,C,20,SAS,11,28,49,49,28.4,7.6,16.1,0.468,1.6,4.9,0.32,6,11.2,0.534,0.517,3.9,4.8,0.811,2.1,7.9,10,3.2,1.1,3.2,3.5,2.1,20.5,1392,22,0.564,0.305,0.295,8,30.5,19.1,18.7,1.9,9.6,16.1,32.1,-0.9,2.6,1.7,0.058,1,2.3,3.3,1.9
Blake Wesley,SG,20,SAS,11,28,34,1,13,1.7,3.2,0.518,0.1,0.7,0.16,1.6,2.5,0.624,0.536,0.7,1.2,0.575,0.2,0.9,1.1,2.7,0.6,0.1,0.8,1.5,4.1,443,11.1,0.553,0.227,0.364,1.9,7.7,4.8,28.1,2,0.8,17.5,14.6,0.3,0.3,0.5,0.058,-4.1,-0.2,-4.2,-0.3
Ochai Agbaji,SG,23,TOR,19,25,3,0,14,1.7,6,0.278,0.3,3,0.111,1.3,3,0.444,0.306,0.7,1,0.667,0.7,0.7,1.3,0.7,0.3,0,1,1,4.3,42,-0.5,0.336,0.5,0.167,5.1,5.4,5.3,6.2,1.2,0,13.4,22.7,-0.2,0,-0.2,-0.192,-9.4,-4.2,-13.6,-0.1
Scottie Barnes,SG,22,TOR,19,25,55,55,35.2,7.5,15.8,0.473,1.8,5.1,0.353,5.7,10.7,0.53,0.529,3.3,4.3,0.779,2.3,5.8,8.1,6,1.2,1.5,2.7,2,20.1,1935,19.3,0.567,0.32,0.27,7.1,18.7,12.8,25.2,1.7,3.6,13.3,24.8,2.2,2,4.3,0.106,2.8,0.8,3.6,2.7
RJ Barrett,SG,23,TOR,19,25,19,19,33.7,7.9,14.5,0.549,1.4,3.7,0.366,6.6,10.7,0.613,0.596,3.3,5.1,0.639,1.2,5.7,6.9,3.5,0.7,0.4,2.1,2.7,20.5,640,17.4,0.614,0.258,0.353,3.9,19.1,11.3,16.1,1,1.1,10.9,23.8,0.8,0.4,1.2,0.093,1.1,-1.1,0,0.3
Chris Boucher,PF,31,TOR,19,25,46,0,13.9,2.2,4.4,0.493,0.6,1.9,0.326,1.5,2.5,0.623,0.564,1.3,1.8,0.747,1.2,2.8,4.1,0.4,0.3,0.5,0.5,1.4,6.3,641,15.7,0.607,0.438,0.409,9.4,23.1,16.1,4.1,1.1,2.9,8.4,17.4,1,0.6,1.6,0.12,-0.6,-1.4,-1.9,0
Bruce Brown,PG,27,TOR,19,25,14,5,26.1,3.9,8.3,0.466,0.6,1.9,0.296,3.3,6.4,0.517,0.5,1.3,1.3,1,1.1,3.4,4.4,2.1,0.9,0.5,1.1,2.1,9.6,365,11.5,0.541,0.233,0.155,4.4,14.6,9.4,11.2,1.7,1.7,10.8,16.3,0.1,0.3,0.4,0.055,-3.1,-0.7,-3.7,-0.2
Gradey Dick,SG,20,TOR,19,25,34,1,15.3,1.9,4.7,0.403,1,2.9,0.357,0.9,1.8,0.475,0.513,0.7,0.7,0.92,0.4,1.2,1.6,1.1,0.5,0,0.6,1.4,5.5,520,8.8,0.547,0.616,0.157,2.9,9.1,5.9,9.8,1.7,0,11.5,15.8,0.1,0.3,0.3,0.032,-3.4,-1.1,-4.5,-0.3
Javon Freeman-Liberty,PG,24,TOR,19,25,2,0,2,0.5,1.5,0.333,0,0,,0.5,1.5,0.333,0.333,0,0,,0.5,0,0.5,0,0,0,0,0,1,4,8,0.333,0,0,27,0,13.8,0,0,0,0,32.1,0,0,0,-0.155,-8.1,-9.5,-17.6,0
Mouhamadou Gueye,PF,25,TOR,19,25,1,0,6,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,1,3,0,0,2,0,1,2,6,23.6,0.333,0,0,36,18.8,27.6,0,0,29.1,0,21.4,0,0,0,0.113,-0.6,1.5,0.9,0
Ron Harper Jr.,PF,23,TOR,19,25,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,2,0,4,0,,,,0,0,0,28.2,0,0,,0,0,0,0,0.094,-11.8,3,-8.8,0
Jalen McDaniels,SF,26,TOR,19,25,33,0,8.9,1.1,3.2,0.333,0.3,1.6,0.208,0.7,1.6,0.462,0.386,0.4,0.6,0.7,0.3,1,1.3,0.5,0.3,0.1,0.5,0.9,2.9,295,4.4,0.417,0.505,0.19,3.3,12.6,7.9,7.5,1.8,0.9,13.7,19.1,-0.7,0.2,-0.5,-0.077,-7.5,-1.5,-9,-0.5
Markquis Nowell,SG,24,TOR,19,25,1,0,4,0,1,0,0,0,,0,1,0,0,2,2,1,2,0,2,2,1,0,0,0,2,4,55.6,0.532,0,2,53.9,0,27.6,56.5,12.1,0,0,20.1,0,0,0.1,0.673,29,14.4,43.4,0
Jordan Nwora,SF,25,TOR,19,25,10,0,12.4,1.9,4.5,0.422,0.9,2.2,0.409,1,2.3,0.435,0.522,1.5,1.7,0.882,0.5,1.7,2.2,1.4,0.5,0.2,0.7,1.4,6.2,124,15,0.591,0.489,0.378,4.3,15.5,9.8,15.4,2,1.4,11.8,20.5,0.2,0.1,0.3,0.105,-0.4,-0.8,-1.2,0
Kelly Olynyk,C,32,TOR,19,25,3,0,16.7,3.3,7,0.476,0.7,2.3,0.286,2.7,4.7,0.571,0.524,2,2,1,1.3,3,4.3,1.7,2,0.3,1,2,9.3,50,22.1,0.592,0.333,0.286,8.6,20.3,14.3,14.6,5.8,1.7,11.3,22.8,0.1,0.1,0.2,0.173,2.4,4,6.4,0.1
